OrderID,CustomerName,CustomerEmail,ProductName,ProductCategory,Quantity,Price,OrderDate,DeliveryStatus,PaymentMethod,TotalAmount,OrderMonth
22,Customer_158,Customer158@gmail.com,Bread,Bakery,7,117.41,2025-10-07,Delivered,Card,821.87,10
23,Customer_38,Customer38@gmail.com,Butter,Dairy,8,291.46,2025-09-02,Delivered,UPI,2331.68,9
24,Customer_130,Customer130@gmail.com,Orange,Fruits,13,490.23,2025-06-08,Delivered,Card,6372.99,6
25,Customer_192,Customer192@gmail.com,Chicken,Meat,3,99.34,2025-07-20,Delivered,UPI,298.02,7
26,Customer_188,Customer188@gmail.com,Orange,Fruits,0,356.12,2025-04-24,Delivered,Cash,0.0,4
27,Customer_21,Customer21@gmail.com,Milk,Dairy,0,301.19,2025-06-26,Delivered,Card,0.0,6
28,Customer_161,Customer161@gmail.com,Milk,Dairy,2,301.51,2025-07-04,Delivered,Cash,603.02,7
29,Customer_58,Customer58@gmail.com,Butter,Dairy,14,354.88,2025-05-22,Delivered,UPI,4968.32,5
30,Customer_22,Customer22@gmail.com,Eggs,Dairy,15,466.22,2025-11-27,Delivered,UPI,6993.3,11
31,Customer_89,Customer89@gmail.com,Bread,Bakery,13,395.64,2025-01-06,Pending,UPI,5143.32,1
32,Customer_49,Customer49@gmail.com,Butter,Dairy,4,46.95,2025-10-13,Delivered,UPI,187.8,10
33,Customer_59,Customer59@gmail.com,Cheese,Dairy,15,429.31,2025-02-15,Delivered,UPI,6439.65,2
34,Customer_170,Customer170@gmail.com,Banana,Fruits,4,128.26,2025-10-19,Delivered,Card,513.04,10
35,Customer_188,Customer188@gmail.com,Bread,Bakery,8,200.92,2025-08-13,Delivered,Card,1607.36,8
36,Customer_15,Customer15@gmail.com,Bread,Bakery,9,241.63,2025-11-04,Delivered,Card,2174.67,11
37,Customer_190,Customer190@gmail.com,Cheese,Dairy,13,250.83,2025-02-05,Delivered,Card,3260.79,2
38,Customer_190,Customer190@gmail.com,Cheese,Dairy,11,228.89,2025-07-24,Delivered,Card,2517.79,7
39,Customer_175,Customer175@gmail.com,Apple,Fruits,1,469.93,2025-07-02,Delivered,Card,469.93,7
40,Customer_190,Customer190@gmail.com,Butter,Dairy,1,358.89,2025-09-15,Delivered,Card,358.89,9
41,Customer_51,Customer51@gmail.com,Cheese,Dairy,15,322.96,2025-07-15,Delivered,UPI,4844.4,7
42,Customer_108,Customer108@gmail.com,Milk,Dairy,5,43.92,2025-07-17,Delivered,Cash,219.60000000000002,7
43,Customer_55,Customer55@gmail.com,Chicken,Meat,14,453.88,2025-06-06,Delivered,Cash,6354.32,6
44,Customer_64,Customer64@gmail.com,Banana,Fruits,8,456.51,2025-04-23,Delivered,Card,3652.08,4
45,Customer_131,Customer131@gmail.com,Butter,Dairy,0,394.5,2025-06-26,Delivered,UPI,0.0,6
46,Customer_51,Customer51@gmail.com,Tomato,Vegetables,8,23.37,2025-02-13,Delivered,Cash,186.96,2
47,Customer_135,Customer135@gmail.com,Milk,Dairy,8,47.49,2025-12-17,Delivered,Card,379.92,12
48,Customer_21,Customer21@gmail.com,Eggs,Dairy,15,128.11,2025-09-18,Delivered,Card,1921.65,9
49,Customer_73,Customer73@gmail.com,Cheese,Dairy,12,83.05,2025-12-14,Delivered,Cash,996.5999999999999,12
50,Customer_167,Customer167@gmail.com,Tomato,Vegetables,8,211.44,2025-03-24,Pending,UPI,1691.52,3
51,Customer_18,Customer18@gmail.com,Cheese,Dairy,4,462.86,2025-11-17,Pending,Card,1851.44,11
52,Customer_132,Customer132@gmail.com,Bread,Bakery,12,246.59,2025-10-23,Pending,Card,2959.08,10
53,Customer_89,Customer89@gmail.com,Milk,Dairy,14,26.43,2025-09-05,Delivered,Card,370.02,9
54,Customer_60,Customer60@gmail.com,Bread,Bakery,8,155.72,2025-08-17,Delivered,Cash,1245.76,8
55,Customer_14,Customer14@gmail.com,Apple,Fruits,10,41.41,2025-04-26,Delivered,UPI,414.09999999999997,4
56,Customer_9,Customer9@gmail.com,Bread,Bakery,3,37.42,2025-10-25,Delivered,Card,112.26,10
57,Customer_90,Customer90@gmail.com,Apple,Fruits,1,152.35,2025-07-03,Delivered,Card,152.35,7
58,Customer_53,Customer53@gmail.com,Apple,Fruits,12,152.29,2025-01-26,Delivered,UPI,1827.48,1
59,Customer_130,Customer130@gmail.com,Tomato,Vegetables,5,397.82,2025-04-25,Cancelled,UPI,1989.1,4
60,Customer_84,Customer84@gmail.com,Cheese,Dairy,13,487.92,2025-12-08,Delivered,Card,6342.96,12
61,Customer_92,Customer92@gmail.com,Eggs,Dairy,3,198.18,2025-11-07,Pending,Cash,594.54,11
62,Customer_111,Customer111@gmail.com,Bread,Bakery,5,225.87,2025-12-25,Delivered,Card,1129.35,12
63,Customer_188,Customer188@gmail.com,Milk,Dairy,2,425.5,2025-08-18,Delivered,Card,851.0,8
64,Customer_199,Customer199@gmail.com,Apple,Fruits,5,148.71,2025-04-01,Delivered,UPI,743.5500000000001,4
65,Customer_172,Customer172@gmail.com,Cheese,Dairy,1,95.06,2025-03-01,Delivered,Card,95.06,3
66,Customer_8,Customer8@gmail.com,Banana,Fruits,1,429.48,2025-03-10,Pending,Cash,429.48,3
67,Customer_175,Customer175@gmail.com,Butter,Dairy,12,42.32,2025-01-08,Delivered,UPI,507.84000000000003,1
68,Customer_35,Customer35@gmail.com,Tomato,Vegetables,8,317.46,2025-05-23,Delivered,UPI,2539.68,5
69,Customer_81,Customer81@gmail.com,Eggs,Dairy,6,289.76,2025-03-11,Pending,Card,1738.56,3
70,Customer_164,Customer164@gmail.com,Orange,Fruits,2,186.04,2025-05-31,Delivered,Card,372.08,5
71,Customer_50,Customer50@gmail.com,Tomato,Vegetables,12,171.29,2025-12-08,Cancelled,Card,2055.48,12
72,Customer_104,Customer104@gmail.com,Banana,Fruits,10,390.49,2025-06-07,Delivered,UPI,3904.9,6
73,Customer_132,Customer132@gmail.com,Butter,Dairy,0,61.48,2025-11-17,Delivered,UPI,0.0,11
74,Customer_2,Customer2@gmail.com,Banana,Fruits,7,133.66,2025-08-10,Delivered,Cash,935.62,8
75,Customer_134,Customer134@gmail.com,Bread,Bakery,13,371.58,2025-04-01,Delivered,UPI,4830.54,4
76,Customer_54,Customer54@gmail.com,Apple,Fruits,5,283.19,2025-05-10,Delivered,Cash,1415.95,5
77,Customer_106,Customer106@gmail.com,Eggs,Dairy,6,81.43,2025-01-31,Delivered,UPI,488.58000000000004,1
78,Customer_4,Customer4@gmail.com,Chicken,Meat,8,443.43,2025-05-02,Pending,Card,3547.44,5
79,Customer_54,Customer54@gmail.com,Apple,Fruits,4,208.85,2025-09-05,Pending,Card,835.4,9
80,Customer_191,Customer191@gmail.com,Chicken,Meat,14,417.38,2025-01-27,Delivered,UPI,5843.32,1
81,Customer_146,Customer146@gmail.com,Butter,Dairy,0,398.1,2025-03-16,Delivered,Card,0.0,3
82,Customer_44,Customer44@gmail.com,Cheese,Dairy,11,319.72,2025-05-20,Delivered,Card,3516.92,5
83,Customer_162,Customer162@gmail.com,Orange,Fruits,9,257.35,2025-12-25,Delivered,UPI,2316.15,12
84,Customer_190,Customer190@gmail.com,Milk,Dairy,6,490.18,2025-10-14,Delivered,Cash,2941.08,10
85,Customer_14,Customer14@gmail.com,Apple,Fruits,14,89.58,2025-09-25,Delivered,Card,1254.12,9
86,Customer_95,Customer95@gmail.com,Eggs,Dairy,4,368.07,2025-02-12,Delivered,UPI,1472.28,2
87,Customer_48,Customer48@gmail.com,Banana,Fruits,2,111.77,2025-10-13,Delivered,Cash,223.54,10
88,Customer_15,Customer15@gmail.com,Eggs,Dairy,11,182.37,2025-10-14,Cancelled,Card,2006.0700000000002,10
89,Customer_200,Customer200@gmail.com,Butter,Dairy,12,168.18,2025-08-08,Delivered,Card,2018.16,8
90,Customer_190,Customer190@gmail.com,Chicken,Meat,8,474.58,2025-12-28,Delivered,Card,3796.64,12
91,Customer_40,Customer40@gmail.com,Banana,Fruits,0,484.33,2025-04-29,Delivered,UPI,0.0,4
92,Customer_82,Customer82@gmail.com,Milk,Dairy,0,107.85,2025-12-10,Delivered,UPI,0.0,12
93,Customer_111,Customer111@gmail.com,Milk,Dairy,15,30.58,2025-11-30,Delivered,Cash,458.7,11
94,Customer_53,Customer53@gmail.com,Apple,Fruits,0,365.6,2025-01-05,Delivered,UPI,0.0,1
95,Customer_24,Customer24@gmail.com,Butter,Dairy,2,220.64,2025-06-14,Pending,Card,441.28,6
96,Customer_154,Customer154@gmail.com,Cheese,Dairy,11,62.64,2025-12-23,Delivered,Card,689.04,12
97,Customer_188,Customer188@gmail.com,Butter,Dairy,5,348.2,2025-02-07,Delivered,UPI,1741.0,2
98,Customer_124,Customer124@gmail.com,Chicken,Meat,9,281.65,2025-07-19,Cancelled,Card,2534.85,7
99,Customer_41,Customer41@gmail.com,Eggs,Dairy,10,490.65,2025-12-24,Pending,Card,4906.5,12
100,Customer_157,Customer157@gmail.com,Milk,Dairy,2,129.16,2025-07-22,Delivered,Card,258.32,7
101,Customer_15,Customer15@gmail.com,Eggs,Dairy,7,213.91,2025-03-11,Delivered,Card,1497.37,3
102,Customer_45,Customer45@gmail.com,Eggs,Dairy,13,280.42,2025-08-01,Delivered,Card,3645.46,8
103,Customer_65,Customer65@gmail.com,Eggs,Dairy,13,400.02,2025-03-16,Delivered,Card,5200.26,3
104,Customer_89,Customer89@gmail.com,Milk,Dairy,9,283.44,2025-07-09,Delivered,Card,2550.96,7
105,Customer_71,Customer71@gmail.com,Tomato,Vegetables,1,314.19,2025-01-28,Delivered,Card,314.19,1
106,Customer_9,Customer9@gmail.com,Bread,Bakery,13,128.55,2025-08-10,Delivered,UPI,1671.15,8
107,Customer_88,Customer88@gmail.com,Chicken,Meat,8,426.52,2025-07-08,Delivered,Cash,3412.16,7
108,Customer_129,Customer129@gmail.com,Tomato,Vegetables,2,225.74,2025-09-28,Delivered,Card,451.48,9
109,Customer_136,Customer136@gmail.com,Chicken,Meat,4,87.66,2025-08-19,Delivered,UPI,350.64,8
110,Customer_63,Customer63@gmail.com,Banana,Fruits,9,338.81,2025-07-20,Delivered,Card,3049.29,7
111,Customer_139,Customer139@gmail.com,Butter,Dairy,7,123.72,2025-09-09,Delivered,UPI,866.04,9
112,Customer_81,Customer81@gmail.com,Butter,Dairy,15,66.83,2025-02-22,Delivered,Cash,1002.4499999999999,2
113,Customer_136,Customer136@gmail.com,Orange,Fruits,1,433.75,2025-08-06,Delivered,UPI,433.75,8
114,Customer_163,Customer163@gmail.com,Butter,Dairy,5,240.88,2025-03-04,Delivered,Cash,1204.4,3
115,Customer_163,Customer163@gmail.com,Milk,Dairy,11,379.66,2025-12-04,Delivered,Card,4176.26,12
116,Customer_33,Customer33@gmail.com,Cheese,Dairy,4,159.48,2025-01-25,Delivered,Card,637.92,1
117,Customer_123,Customer123@gmail.com,Apple,Fruits,12,397.75,2025-06-07,Delivered,Cash,4773.0,6
118,Customer_5,Customer5@gmail.com,Orange,Fruits,9,73.73,2025-09-11,Pending,Card,663.57,9
119,Customer_41,Customer41@gmail.com,Apple,Fruits,8,190.87,2025-06-17,Pending,Card,1526.96,6
120,Customer_28,Customer28@gmail.com,Chicken,Meat,11,489.47,2025-02-03,Delivered,UPI,5384.17,2
121,Customer_135,Customer135@gmail.com,Apple,Fruits,4,401.12,2025-07-21,Delivered,Cash,1604.48,7
122,Customer_72,Customer72@gmail.com,Apple,Fruits,1,258.68,2025-08-23,Delivered,Cash,258.68,8
123,Customer_12,Customer12@gmail.com,Orange,Fruits,15,183.09,2025-09-14,Delivered,Card,2746.35,9
124,Customer_162,Customer162@gmail.com,Banana,Fruits,4,438.63,2025-05-17,Delivered,Cash,1754.52,5
125,Customer_33,Customer33@gmail.com,Eggs,Dairy,14,281.53,2025-07-25,Cancelled,Card,3941.4199999999996,7
126,Customer_48,Customer48@gmail.com,Butter,Dairy,11,384.04,2025-06-14,Delivered,Card,4224.4400000000005,6
127,Customer_151,Customer151@gmail.com,Butter,Dairy,3,381.97,2025-09-03,Delivered,UPI,1145.91,9
128,Customer_62,Customer62@gmail.com,Milk,Dairy,14,28.61,2025-08-01,Pending,Card,400.53999999999996,8
129,Customer_37,Customer37@gmail.com,Orange,Fruits,10,80.6,2025-07-11,Cancelled,Card,806.0,7
130,Customer_99,Customer99@gmail.com,Milk,Dairy,15,336.62,2025-04-02,Pending,UPI,5049.3,4
131,Customer_172,Customer172@gmail.com,Cheese,Dairy,6,97.58,2025-01-01,Delivered,Card,585.48,1
132,Customer_104,Customer104@gmail.com,Cheese,Dairy,5,142.64,2025-03-05,Delivered,Card,713.1999999999999,3
133,Customer_35,Customer35@gmail.com,Milk,Dairy,13,474.39,2025-02-12,Delivered,Card,6167.07,2
134,Customer_193,Customer193@gmail.com,Orange,Fruits,1,288.89,2025-06-13,Delivered,Card,288.89,6
135,Customer_101,Customer101@gmail.com,Milk,Dairy,11,380.35,2025-08-12,Delivered,Card,4183.85,8
136,Customer_175,Customer175@gmail.com,Butter,Dairy,10,287.83,2025-03-19,Delivered,UPI,2878.2999999999997,3
137,Customer_131,Customer131@gmail.com,Tomato,Vegetables,10,285.21,2025-12-09,Cancelled,UPI,2852.1,12
138,Customer_1,Customer1@gmail.com,Bread,Bakery,12,65.19,2025-01-03,Delivered,Card,782.28,1
139,Customer_5,Customer5@gmail.com,Apple,Fruits,4,184.96,2025-10-09,Delivered,Cash,739.84,10
140,Customer_142,Customer142@gmail.com,Bread,Bakery,6,155.57,2025-08-17,Delivered,Card,933.42,8
141,Customer_103,Customer103@gmail.com,Orange,Fruits,10,207.55,2025-05-17,Delivered,Card,2075.5,5
142,Customer_27,Customer27@gmail.com,Bread,Bakery,6,403.21,2025-01-19,Delivered,Cash,2419.2599999999998,1
143,Customer_137,Customer137@gmail.com,Cheese,Dairy,15,198.53,2025-08-18,Delivered,Card,2977.95,8
144,Customer_15,Customer15@gmail.com,Chicken,Meat,14,236.81,2025-05-21,Delivered,Cash,3315.34,5
145,Customer_90,Customer90@gmail.com,Apple,Fruits,4,210.74,2025-12-08,Pending,Card,842.96,12
146,Customer_42,Customer42@gmail.com,Eggs,Dairy,11,64.84,2025-07-17,Delivered,UPI,713.24,7
147,Customer_124,Customer124@gmail.com,Orange,Fruits,14,231.71,2025-12-09,Cancelled,Card,3243.94,12
148,Customer_179,Customer179@gmail.com,Apple,Fruits,8,113.89,2025-03-22,Delivered,Card,911.12,3
149,Customer_63,Customer63@gmail.com,Bread,Bakery,3,109.63,2025-09-22,Delivered,Card,328.89,9
150,Customer_96,Customer96@gmail.com,Cheese,Dairy,10,65.14,2025-08-14,Delivered,UPI,651.4,8
151,Customer_52,Customer52@gmail.com,Banana,Fruits,2,191.2,2025-09-27,Delivered,UPI,382.4,9
152,Customer_96,Customer96@gmail.com,Tomato,Vegetables,14,383.59,2025-03-20,Delivered,Cash,5370.259999999999,3
153,Customer_132,Customer132@gmail.com,Eggs,Dairy,3,152.69,2025-08-31,Delivered,Card,458.07,8
154,Customer_151,Customer151@gmail.com,Tomato,Vegetables,4,169.93,2025-07-01,Pending,Card,679.72,7
155,Customer_143,Customer143@gmail.com,Apple,Fruits,12,328.48,2025-09-29,Pending,Card,3941.76,9
156,Customer_171,Customer171@gmail.com,Cheese,Dairy,5,114.0,2025-04-30,Delivered,UPI,570.0,4
157,Customer_29,Customer29@gmail.com,Cheese,Dairy,2,450.54,2025-11-21,Pending,Cash,901.08,11
158,Customer_36,Customer36@gmail.com,Bread,Bakery,1,269.69,2025-01-31,Delivered,Card,269.69,1
159,Customer_13,Customer13@gmail.com,Butter,Dairy,13,234.85,2025-10-22,Pending,UPI,3053.0499999999997,10
160,Customer_160,Customer160@gmail.com,Bread,Bakery,12,287.75,2025-11-11,Delivered,Card,3453.0,11
161,Customer_71,Customer71@gmail.com,Butter,Dairy,3,99.7,2025-10-26,Delivered,UPI,299.1,10
162,Customer_187,Customer187@gmail.com,Butter,Dairy,15,314.47,2025-07-07,Pending,Cash,4717.05,7
163,Customer_86,Customer86@gmail.com,Eggs,Dairy,4,194.29,2025-06-10,Delivered,Card,777.16,6
164,Customer_28,Customer28@gmail.com,Bread,Bakery,3,450.65,2025-12-30,Pending,Card,1351.9499999999998,12
165,Customer_66,Customer66@gmail.com,Banana,Fruits,13,101.05,2025-03-25,Delivered,Cash,1313.6499999999999,3
166,Customer_170,Customer170@gmail.com,Milk,Dairy,10,263.38,2025-07-19,Delivered,Cash,2633.8,7
167,Customer_45,Customer45@gmail.com,Milk,Dairy,12,307.09,2025-09-02,Delivered,UPI,3685.08,9
168,Customer_62,Customer62@gmail.com,Bread,Bakery,14,36.02,2025-09-13,Delivered,UPI,504.28000000000003,9
169,Customer_185,Customer185@gmail.com,Bread,Bakery,11,194.57,2025-03-16,Delivered,Card,2140.27,3
170,Customer_134,Customer134@gmail.com,Tomato,Vegetables,2,371.66,2025-08-27,Pending,UPI,743.32,8
171,Customer_28,Customer28@gmail.com,Eggs,Dairy,7,413.78,2025-10-26,Delivered,Cash,2896.46,10
172,Customer_28,Customer28@gmail.com,Bread,Bakery,15,170.32,2025-01-19,Pending,UPI,2554.7999999999997,1
173,Customer_108,Customer108@gmail.com,Tomato,Vegetables,9,403.32,2025-11-29,Pending,Card,3629.88,11
174,Customer_44,Customer44@gmail.com,Butter,Dairy,3,484.52,2025-01-11,Delivered,Card,1453.56,1
175,Customer_84,Customer84@gmail.com,Cheese,Dairy,13,431.3,2025-05-10,Pending,Card,5606.900000000001,5
176,Customer_30,Customer30@gmail.com,Cheese,Dairy,1,76.47,2025-01-06,Cancelled,Card,76.47,1
177,Customer_190,Customer190@gmail.com,Butter,Dairy,1,375.07,2025-01-29,Pending,Card,375.07,1
178,Customer_75,Customer75@gmail.com,Orange,Fruits,0,173.44,2025-11-29,Pending,Card,0.0,11
179,Customer_128,Customer128@gmail.com,Tomato,Vegetables,12,494.44,2025-05-10,Cancelled,Card,5933.28,5
180,Customer_92,Customer92@gmail.com,Tomato,Vegetables,3,252.97,2025-06-05,Delivered,Card,758.91,6
181,Customer_190,Customer190@gmail.com,Butter,Dairy,9,78.77,2025-03-20,Delivered,UPI,708.93,3
182,Customer_129,Customer129@gmail.com,Banana,Fruits,8,368.09,2025-08-06,Pending,Card,2944.72,8
183,Customer_121,Customer121@gmail.com,Chicken,Meat,13,175.05,2025-08-06,Delivered,Card,2275.65,8
184,Customer_27,Customer27@gmail.com,Apple,Fruits,10,498.6,2025-05-16,Delivered,Card,4986.0,5
185,Customer_190,Customer190@gmail.com,Butter,Dairy,6,490.3,2025-05-02,Delivered,Card,2941.8,5
186,Customer_121,Customer121@gmail.com,Bread,Bakery,14,334.94,2025-11-20,Pending,UPI,4689.16,11
187,Customer_116,Customer116@gmail.com,Bread,Bakery,11,82.32,2025-05-20,Delivered,Card,905.52,5
188,Customer_3,Customer3@gmail.com,Eggs,Dairy,9,349.69,2025-06-30,Cancelled,UPI,3147.21,6
189,Customer_103,Customer103@gmail.com,Butter,Dairy,6,64.65,2025-04-14,Delivered,Cash,387.90000000000003,4
190,Customer_198,Customer198@gmail.com,Eggs,Dairy,12,34.09,2025-10-15,Delivered,UPI,409.08000000000004,10
191,Customer_200,Customer200@gmail.com,Butter,Dairy,14,415.02,2025-05-26,Delivered,UPI,5810.28,5
192,Customer_155,Customer155@gmail.com,Tomato,Vegetables,6,120.68,2025-07-07,Delivered,Cash,724.08,7
193,Customer_137,Customer137@gmail.com,Apple,Fruits,14,201.93,2025-04-03,Delivered,UPI,2827.02,4
194,Customer_62,Customer62@gmail.com,Tomato,Vegetables,7,487.26,2025-12-27,Cancelled,Card,3410.8199999999997,12
195,Customer_165,Customer165@gmail.com,Chicken,Meat,0,181.68,2025-04-17,Pending,Card,0.0,4
196,Customer_51,Customer51@gmail.com,Cheese,Dairy,9,162.32,2025-10-09,Delivered,Cash,1460.8799999999999,10
197,Customer_172,Customer172@gmail.com,Milk,Dairy,12,460.74,2025-06-06,Delivered,Card,5528.88,6
198,Customer_152,Customer152@gmail.com,Butter,Dairy,9,73.16,2025-03-17,Pending,Card,658.4399999999999,3
199,Customer_59,Customer59@gmail.com,Chicken,Meat,7,384.6,2025-10-19,Cancelled,UPI,2692.2000000000003,10
200,Customer_118,Customer118@gmail.com,Cheese,Dairy,3,494.27,2025-05-02,Delivered,Cash,1482.81,5
201,Customer_160,Customer160@gmail.com,Orange,Fruits,3,452.62,2025-11-12,Delivered,Card,1357.8600000000001,11
202,Customer_96,Customer96@gmail.com,Apple,Fruits,3,332.8,2025-12-01,Delivered,UPI,998.4000000000001,12
203,Customer_180,Customer180@gmail.com,Eggs,Dairy,5,170.75,2025-11-10,Pending,Card,853.75,11
204,Customer_113,Customer113@gmail.com,Eggs,Dairy,6,142.07,2025-01-13,Delivered,UPI,852.42,1
205,Customer_62,Customer62@gmail.com,Tomato,Vegetables,5,413.24,2025-10-15,Delivered,Card,2066.2,10
206,Customer_186,Customer186@gmail.com,Bread,Bakery,0,442.31,2025-05-31,Delivered,Card,0.0,5
207,Customer_52,Customer52@gmail.com,Cheese,Dairy,11,272.21,2025-11-15,Pending,Cash,2994.31,11
208,Customer_12,Customer12@gmail.com,Orange,Fruits,7,137.28,2025-08-21,Delivered,Card,960.96,8
209,Customer_39,Customer39@gmail.com,Chicken,Meat,12,74.21,2025-11-01,Delivered,UPI,890.52,11
210,Customer_130,Customer130@gmail.com,Apple,Fruits,9,61.85,2025-07-02,Delivered,Card,556.65,7
211,Customer_131,Customer131@gmail.com,Cheese,Dairy,14,365.16,2025-07-15,Delivered,Card,5112.240000000001,7
212,Customer_113,Customer113@gmail.com,Orange,Fruits,10,221.66,2025-02-22,Delivered,UPI,2216.6,2
213,Customer_101,Customer101@gmail.com,Milk,Dairy,12,454.57,2025-10-14,Pending,Card,5454.84,10
214,Customer_113,Customer113@gmail.com,Butter,Dairy,6,375.04,2025-06-03,Pending,Card,2250.2400000000002,6
215,Customer_184,Customer184@gmail.com,Eggs,Dairy,5,111.81,2025-07-02,Pending,Card,559.05,7
216,Customer_81,Customer81@gmail.com,Chicken,Meat,5,314.61,2025-10-14,Pending,UPI,1573.0500000000002,10
217,Customer_187,Customer187@gmail.com,Eggs,Dairy,4,229.04,2025-08-07,Delivered,Cash,916.16,8
218,Customer_113,Customer113@gmail.com,Chicken,Meat,5,297.08,2025-03-15,Pending,Cash,1485.3999999999999,3
219,Customer_2,Customer2@gmail.com,Tomato,Vegetables,11,374.27,2025-08-04,Delivered,Card,4116.969999999999,8
220,Customer_130,Customer130@gmail.com,Bread,Bakery,8,406.97,2025-05-29,Delivered,Card,3255.76,5
221,Customer_54,Customer54@gmail.com,Chicken,Meat,9,424.99,2025-06-21,Cancelled,Card,3824.91,6
222,Customer_87,Customer87@gmail.com,Eggs,Dairy,8,141.91,2025-01-11,Delivered,Cash,1135.28,1
223,Customer_129,Customer129@gmail.com,Tomato,Vegetables,14,34.94,2025-03-18,Delivered,Card,489.15999999999997,3
224,Customer_147,Customer147@gmail.com,Chicken,Meat,9,374.86,2025-04-13,Delivered,Cash,3373.7400000000002,4
225,Customer_126,Customer126@gmail.com,Milk,Dairy,7,71.04,2025-09-18,Delivered,Card,497.28000000000003,9
226,Customer_130,Customer130@gmail.com,Bread,Bakery,9,171.16,2025-01-05,Delivered,Cash,1540.44,1
227,Customer_53,Customer53@gmail.com,Chicken,Meat,8,21.83,2025-05-30,Pending,Cash,174.64,5
228,Customer_172,Customer172@gmail.com,Tomato,Vegetables,12,347.2,2025-12-04,Cancelled,Cash,4166.4,12
229,Customer_160,Customer160@gmail.com,Cheese,Dairy,9,100.22,2025-02-10,Delivered,Card,901.98,2
230,Customer_198,Customer198@gmail.com,Banana,Fruits,7,334.54,2025-07-08,Delivered,Card,2341.78,7
231,Customer_160,Customer160@gmail.com,Orange,Fruits,7,496.04,2025-10-15,Delivered,Card,3472.28,10
232,Customer_68,Customer68@gmail.com,Banana,Fruits,15,54.88,2025-12-11,Pending,Card,823.2,12
233,Customer_183,Customer183@gmail.com,Banana,Fruits,0,57.0,2025-09-30,Delivered,Card,0.0,9
234,Customer_184,Customer184@gmail.com,Apple,Fruits,9,183.38,2025-09-21,Delivered,UPI,1650.42,9
235,Customer_123,Customer123@gmail.com,Milk,Dairy,10,435.87,2025-10-29,Delivered,Card,4358.7,10
236,Customer_145,Customer145@gmail.com,Cheese,Dairy,4,123.45,2025-06-12,Delivered,UPI,493.8,6
237,Customer_38,Customer38@gmail.com,Butter,Dairy,3,192.98,2025-10-22,Delivered,UPI,578.9399999999999,10
238,Customer_24,Customer24@gmail.com,Chicken,Meat,1,52.88,2025-01-03,Pending,Card,52.88,1
239,Customer_69,Customer69@gmail.com,Orange,Fruits,7,386.31,2025-12-04,Delivered,Cash,2704.17,12
240,Customer_116,Customer116@gmail.com,Bread,Bakery,2,215.99,2025-06-11,Delivered,Card,431.98,6
241,Customer_98,Customer98@gmail.com,Cheese,Dairy,3,384.44,2025-07-21,Delivered,Card,1153.32,7
242,Customer_198,Customer198@gmail.com,Eggs,Dairy,11,453.73,2025-04-04,Pending,Card,4991.030000000001,4
